reading_id,SUBSAMPLE_ID,STEM_ID,GENPRINT,PConcentration,P_Error1s
2019-08-27-091,ST50GEN0109K2,ST50PKT0WDB9,886,3279,126
2019-08-27-092,ST50GEN0108WH,ST50PKT0WCZS,1148,4417,142
2019-08-27-093,ST50GEN0108WT,ST50PKT0WCZY,1212,3022,124
2019-08-27-094,ST50GEN0108XG,ST50PKT0WD0B,1229,3304,129
2019-08-27-095,ST50GEN0108Y9,ST50PKT0WD0T,1051,3068,125
2019-08-27-096,ST50GEN0108MW,ST50PKT0WCQV,532,4296,141
2019-08-27-097,ST50GEN010981,ST50PKT0WDBP,683,2831,120
2019-08-27-098,ST50GEN01098H,ST50PKT0WDBX,1500,3126,126
2019-08-27-099,ST50GEN0109KB,ST50PKT0WDBF,1163,2922,120
2019-08-27-100,ST50GEN0108QN,ST50PKT0WCYJ,598,3146,125
2019-08-27-101,ST50GEN0108YC,ST50PKT0WD0V,274,2749,120
2019-08-27-102,ST50GEN0108FW,ST50PKT0WCSF,1646,2714,119
2019-08-27-103,ST50GEN0108ND,ST50PKT0WCR3,1350,3891,135
2019-08-27-104,ST50GEN010983,ST50PKT0WDBQ,417,2668,119
2019-08-27-105,ST50GEN01098M,ST50PKT0WDBZ,236,2549,115
2019-08-27-106,ST50GEN010989,ST50PKT0WDBT,1072,2265,113
2019-08-27-107,ST50GEN0108GL,ST50PKT0WCSV,434,3666,132
2019-08-27-108,ST50GEN0108GV,ST50PKT0WCSZ,427,3542,130
2019-08-27-109,ST50GEN01098P,ST50PKT0WDC0,676,3219,126
2019-08-27-110,ST50GEN01097X,ST50PKT0WDBK,676,3182,125
2019-08-27-111,ST50GEN0109JY,ST50PKT0WDB7,683,3414,131
2019-08-27-112,ST50GEN01078W,ST50PKT0WC05,118,2629,117
2019-08-27-113,ST50GEN0108XV,ST50PKT0WD0J,484,3003,123
2019-08-27-114,ST50GEN0108Z6,ST50PKT0WD1B,1233,4627,147
2019-08-27-115,ST50GEN0108XB,ST50PKT0WD08,808,3582,132
2019-08-29-004,ST50GEN0108NV,ST50PKT0WCRD,839,2633,118
2019-08-29-005,ST50GEN01098R,ST50PKT0WD7T,349,2854,121
2019-08-29-006,ST50GEN0108PK,ST50PKT0WCXX,410,3954,136
2019-08-29-007,ST50GEN0108YY,ST50PKT0WD16,588,3453,130
2019-08-29-008,ST50GEN0109HZ,ST50PKT0WD9M,1602,4968,151
2019-08-29-009,ST50GEN01098F,ST50PKT0WDBW,1163,2769,121
2019-08-29-010,ST50GEN0108FM,ST50PKT0WCS9,1260,3361,129
2019-08-29-011,ST50GEN0109J9,ST50PKT0WD9V,1658,2520,115
2019-08-29-012,ST50GEN0109J7,ST50PKT0WD9T,WESTONIA,3031,122
2019-08-29-013,ST50GEN0109J5,ST50PKT0WD9S,1442,2699,119
2019-08-29-014,ST50GEN0108PW,ST50PKT0WCY2,598,3879,134
2019-08-29-015,ST50GEN01078K,ST50PKT0WC4V,1445,2717,119
2019-08-29-016,ST50GEN01088B,ST50PKT0WCLN,1158,2723,118
2019-08-29-017,ST50GEN0109SC,ST50PKT0WDLL,1035,2098,110
2019-08-29-018,ST50GEN01078F,ST50PKT0WC4S,1192,2318,113
2019-08-29-019,ST50GEN0109VF,ST50PKT0WDKW,1302,3034,123
