STEM_ID,SITE,YEAR,RUN,RANGE,PAP,BLOCK,RUNPAIR,SET,GENOTYPE,TRIAL,GEN,yield,biomass,sample_weight,grain_g,harvest_index
ST50PKT0WCZV,York,2018,48,10,0 kg P,1,24,BT 4-Way MAGIC,CAV4081232,York_2018,CAV4081232,3.710526316,11.24,193.81,82.9,0.427738507
ST50PKT0WCZT,York,2018,48,11,0 kg P,1,24,BT 4-Way MAGIC,CAV4080808,York_2018,CAV4080808,4.650192555,12.4,290.89,115.1,0.395682217
ST50PKT0WCZS,York,2018,48,12,0 kg P,1,24,BT 4-Way MAGIC,CAV4081148,York_2018,CAV4081148,3.758223684,NA,257.08,101.9,0.396374669
ST50PKT0WCYL,York,2018,55,1,0 kg P,1,28,BT 4-Way MAGIC,CAV4080813,York_2018,CAV4080813,3.902960526,11.07,199.05,78.7,0.395378046
ST50PKT0WCYJ,York,2018,55,3,0 kg P,1,28,BT 4-Way MAGIC,CAV4080598,York_2018,CAV4080598,2.35237484,12.16,246.54,85.2,0.345582867
ST50PKT0WCYH,York,2018,55,4,0 kg P,1,28,BT 4-Way MAGIC,CAV4081165,York_2018,CAV4081165,2.601214575,8.91,170.27,65.4,0.384095848
ST50PKT0WCYG,York,2018,55,5,0 kg P,1,28,BT 4-Way MAGIC,CAV4080777,York_2018,CAV4080777,2.854010025,8.75,170.4,73.8,0.433098592
ST50PKT0WCYD,York,2018,55,7,0 kg P,1,28,BT 4-Way MAGIC,CAV4080882,York_2018,CAV4080882,2.7936457,9.04,147.51,60.1,0.407430005
ST50PKT0WCYB,York,2018,55,9,0 kg P,1,28,BT 4-Way MAGIC,CAV4080408,York_2018,CAV4080408,2.888318357,11.94,193.21,65.1,0.336939082
ST50PKT0WCY2,York,2018,56,3,30 kg P,1,28,BT 4-Way MAGIC,CAV4080598,York_2018,CAV4080598,3.727535302,15.95,178.9,44.2,0.2470654
ST50PKT0WCXX,York,2018,56,8,30 kg P,1,28,BT 4-Way MAGIC,CAV4080410,York_2018,CAV4080410,4.203601108,12.86,154.63,62.3,0.402897239
ST50PKT0WCRM,York,2018,61,2,0 kg P,1,31,BT 4-Way MAGIC,CAV4080787,York_2018,CAV4080787,3.802294197,10.53,234.66,98.6,0.420182392
ST50PKT0WCRL,York,2018,61,3,0 kg P,1,31,BT 4-Way MAGIC,CAV4081547,York_2018,CAV4081547,2.982991014,NA,211.91,64.5,0.304374499
ST50PKT0WCRK,York,2018,61,4,0 kg P,1,31,BT 4-Way MAGIC,CAV4081350,York_2018,CAV4081350,3.211875843,13.17,159.27,55,0.345325548
ST50PKT0WCRJ,York,2018,61,5,0 kg P,1,31,BT 4-Way MAGIC,CAV4081325,York_2018,CAV4081325,3.043546366,11.55,119.95,43.8,0.365152147
ST50PKT0WCRH,York,2018,61,6,0 kg P,1,31,BT 4-Way MAGIC,CAV4081443,York_2018,CAV4081443,2.756739409,12.21,146.05,54.4,0.37247518
ST50PKT0WCRG,York,2018,61,7,0 kg P,1,31,BT 4-Way MAGIC,CAV4080438,York_2018,CAV4080438,2.483953787,8.9,76.39,29.3,0.383558057
ST50PKT0WCRF,York,2018,61,8,0 kg P,1,31,BT 4-Way MAGIC,CAV4081247,York_2018,CAV4081247,2.815096953,9.95,105.19,44.4,0.422093355
ST50PKT0WCRD,York,2018,61,9,0 kg P,1,31,BT 4-Way MAGIC,CAV4080839,York_2018,CAV4080839,2.727856226,10.07,96.82,32.4,0.334641603
ST50PKT0WCRC,York,2018,61,10,0 kg P,1,31,BT 4-Way MAGIC,CAV4081255,York_2018,CAV4081255,2.370065789,9.89,150.71,61.1,0.405414372
ST50PKT0WCRB,York,2018,61,11,0 kg P,1,31,BT 4-Way MAGIC,CAV4081528,York_2018,CAV4081528,2.358793325,11.11,109.63,30.3,0.276384201
ST50PKT0WCR9,York,2018,61,12,0 kg P,1,31,BT 4-Way MAGIC,CAV4080532,York_2018,CAV4080532,3.662828947,13.36,232.72,89.3,0.383722929
ST50PKT0WCR5,York,2018,62,2,30 kg P,1,31,BT 4-Way MAGIC,CAV4080787,York_2018,CAV4080787,6.268556005,12.73,309.21,121,0.391319815
ST50PKT0WCR4,York,2018,62,3,30 kg P,1,31,BT 4-Way MAGIC,CAV4081547,York_2018,CAV4081547,4.49775353,12.87,374.61,141,0.376391447
ST50PKT0WCR3,York,2018,62,4,30 kg P,1,31,BT 4-Way MAGIC,CAV4081350,York_2018,CAV4081350,4.333670715,15.02,259.02,74,0.285692225
ST50PKT0WCR2,York,2018,62,5,30 kg P,1,31,BT 4-Way MAGIC,CAV4081325,York_2018,CAV4081325,4.960839599,14.94,331.03,109.9,0.331994079
ST50PKT0WCR1,York,2018,62,6,30 kg P,1,31,BT 4-Way MAGIC,CAV4081443,York_2018,CAV4081443,4.244223363,14.51,310.83,93,0.299198919
ST50PKT0WCR0,York,2018,62,7,30 kg P,1,31,BT 4-Way MAGIC,CAV4080438,York_2018,CAV4080438,4.250641849,12.47,235.65,86.5,0.367069807
ST50PKT0WCQZ,York,2018,62,8,30 kg P,1,31,BT 4-Way MAGIC,CAV4081247,York_2018,CAV4081247,4.001038781,12.16,252.35,88,0.348722013
ST50PKT0WCQY,York,2018,62,9,30 kg P,1,31,BT 4-Way MAGIC,CAV4080839,York_2018,CAV4080839,3.794929397,12.76,250.9,81.3,0.324033479
